rho E momentum
2.75494355e-01 2.55507730e-01 8.76408690e-01
2.73041463e-01 2.53240112e-01 8.75338302e-01
2.71095036e-01 2.51444240e-01 8.74481120e-01
2.69579541e-01 2.50049832e-01 8.73805184e-01
2.68422393e-01 2.48988330e-01 8.73282051e-01
2.67557286e-01 2.48195827e-01 8.72888622e-01
2.66925861e-01 2.47615139e-01 8.72606670e-01
2.66477764e-01 2.47197149e-01 8.72419982e-01
2.66169727e-01 2.46901425e-01 8.72310653e-01
2.65964663e-01 2.46696034e-01 8.72257238e-01
2.65831556e-01 2.46556547e-01 8.72236700e-01
2.65746052e-01 2.46464528e-01 8.72229271e-01
2.65690796e-01 2.46406000e-01 8.72222740e-01
2.65654671e-01 2.46370333e-01 8.72213021e-01
2.65630989e-01 2.46349627e-01 8.72201026e-01
2.65615543e-01 2.46338323e-01 8.72188650e-01
2.65605280e-01 2.46332792e-01 8.72176358e-01
2.65597686e-01 2.46330868e-01 8.72162697e-01
2.65590568e-01 2.46331396e-01 8.72144767e-01
2.65582111e-01 2.46333814e-01 8.72119286e-01
2.65571354e-01 2.46337720e-01 8.72084748e-01
2.65559057e-01 2.46342407e-01 8.72044636e-01
2.65548337e-01 2.46346565e-01 8.72009672e-01
2.65543934e-01 2.46348502e-01 8.71995497e-01
2.65549555e-01 2.46347017e-01 8.72014068e-01
2.65564690e-01 2.46342419e-01 8.72063426e-01
2.65583916e-01 2.46336662e-01 8.72125641e-01
2.65600160e-01 2.46332126e-01 8.72177717e-01
2.65609310e-01 2.46330002e-01 8.72206714e-01
2.65611785e-01 2.46329817e-01 8.72214739e-01
2.65610322e-01 2.46330387e-01 8.72211286e-01
2.65607313e-01 2.46330961e-01 8.72204016e-01
2.65604148e-01 2.46331581e-01 8.72196314e-01
2.65601625e-01 2.46332773e-01 8.72189005e-01
2.65599887e-01 2.46335084e-01 8.72181217e-01
2.65597729e-01 2.46338730e-01 8.72169460e-01
2.65592045e-01 2.46343510e-01 8.72146409e-01
2.65578728e-01 2.46348981e-01 8.72102779e-01
2.65556467e-01 2.46354349e-01 8.72037056e-01
2.65532360e-01 2.46357857e-01 8.71970908e-01
2.65522414e-01 2.46356996e-01 8.71949977e-01
2.65539536e-01 2.46351425e-01 8.72007305e-01
2.65577572e-01 2.46345973e-01 8.72116703e-01
2.65614682e-01 2.46346790e-01 8.72209782e-01
2.65635003e-01 2.46352331e-01 8.72250265e-01
2.65635934e-01 2.46352677e-01 8.72253620e-01
2.65619040e-01 2.46340126e-01 8.72240264e-01
2.65591678e-01 2.46318005e-01 8.72218559e-01
2.65569845e-01 2.46298781e-01 8.72190715e-01
2.65565422e-01 2.46287257e-01 8.72137740e-01
2.65561967e-01 2.46245187e-01 8.71958868e-01
2.65474552e-01 2.46006214e-01 8.71259485e-01
2.65018889e-01 2.44973936e-01 8.68556114e-01
2.63197961e-01 2.40990188e-01 8.58362155e-01
2.56607391e-01 2.26766613e-01 8.22116209e-01
2.36414228e-01 1.84644132e-01 7.15185973e-01
1.94809638e-01 1.05102192e-01 5.14697439e-01
1.51009542e-01 3.35389669e-02 3.35322585e-01
1.30508922e-01 6.19338033e-03 2.66116752e-01
1.25837596e-01 8.95578975e-04 2.52361743e-01
1.25116997e-01 1.23997702e-04 2.50327911e-01
1.25016239e-01 1.71888973e-05 2.50045475e-01
1.25002266e-01 2.39766632e-06 2.50006344e-01
1.25000317e-01 3.35617220e-07 2.50000888e-01
1.25000044e-01 4.69520686e-08 2.50000124e-01
1.25000006e-01 6.55018514e-09 2.50000017e-01
1.25000001e-01 9.11820821e-10 2.50000002e-01
1.25000000e-01 1.26914609e-10 2.50000000e-01
1.25000000e-01 1.76860779e-11 2.50000000e-01
1.25000000e-01 2.46711208e-12 2.50000000e-01
1.25000000e-01 3.44187616e-13 2.50000000e-01
1.25000000e-01 4.79948821e-14 2.50000000e-01
1.25000000e-01 6.68683731e-15 2.50000000e-01
1.25000000e-01 9.26705910e-16 2.50000000e-01
1.25000000e-01 1.25145101e-16 2.50000000e-01
1.25000000e-01 1.48833982e-17 2.50000000e-01
1.25000000e-01 5.51197859e-19 2.50000000e-01
1.25000000e-01 6.60973322e-21 2.50000000e-01
1.25000000e-01 1.37022346e-22 2.50000000e-01
1.25000000e-01 1.87780939e-24 2.50000000e-01
1.25000000e-01 3.43220368e-26 2.50000000e-01
1.25000000e-01 5.12551280e-28 2.50000000e-01
1.25000000e-01 9.46223960e-30 2.50000000e-01
1.25000000e-01 1.68716808e-31 2.50000000e-01
1.25000000e-01 3.50981542e-33 2.50000000e-01
1.25000000e-01 6.75537436e-35 2.50000000e-01
1.25000000e-01 1.19375465e-36 2.50000000e-01
1.25000000e-01 1.88548343e-38 2.50000000e-01
1.25000000e-01 3.10400318e-40 2.50000000e-01
1.25000000e-01 4.96986812e-42 2.50000000e-01
1.25000000e-01 8.14721980e-44 2.50000000e-01
1.25000000e-01 1.33163213e-45 2.50000000e-01
1.25000000e-01 2.30682801e-47 2.50000000e-01
1.25000000e-01 4.24068299e-49 2.50000000e-01
1.25000000e-01 8.23503774e-51 2.50000000e-01
1.25000000e-01 1.57432355e-52 2.50000000e-01
1.25000000e-01 2.82102934e-54 2.50000000e-01
