x p rho u E
1.843687374749498897e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.863727454909819559e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.883767535070140220e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.903807615230460881e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.923847695390781265e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.943887775551101926e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.963927855711422588e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.983967935871743249e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.004008016032063910e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.024048096192384572e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.044088176352705233e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.064128256513025894e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.084168336673346555e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.104208416833667217e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.124248496993987878e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.144288577154308539e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.164328657314629201e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.184368737474949584e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.204408817635270246e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.224448897795590907e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.244488977955911568e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.264529058116232230e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.284569138276552891e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.304609218436873552e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.324649298597194214e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.344689378757514875e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.364729458917835536e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.384769539078156197e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.404809619238476859e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.424849699398797520e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.444889779559117904e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.464929859719438565e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.484969939879759226e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.505010020040079888e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.525050100200400549e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.545090180360721210e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.565130260521041872e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.585170340681362533e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.605210420841683194e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
2.625250501002003856e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
